test_snr_db,mean_psnr_db
1.0,19.52982943725586
4.0,23.763665393066407
7.0,26.070279605102538
10.0,27.187688540649415
13.0,27.789359301757813
16.0,28.1116017578125
19.0,28.281410638427733
22.0,28.367151324462892
25.0,28.409823626708985
